ID,names,Excel Rows,Video Type,Captions,Video Width,Video Height,Frame Count,FPS,duration
26,S029,29,SENTENCE,What's your opinion of kindly President Lincoln?,320.0,240.0,112.0,30.2430243024,3.70333333333
27,S030,30,SENTENCE,Does room 3245 have an overhead projector?,320.0,240.0,74.0,30.3901437372,2.435
28,S031,31,SENTENCE,I don't feel safe in sailboats.,320.0,240.0,124.0,30.2193338749,4.10333333333
29,S032,32,SENTENCE,It's very often below freezing in Rochester during December. ,320.0,240.0,107.0,30.2544769086,3.53666666667
30,S033,33,SENTENCE,I predict a very windy March.,320.0,240.0,113.0,30.2408563782,3.73666666667
31,S034,34,SENTENCE,Many women like dressing to be chic.,320.0,240.0,138.0,30.1969365427,4.57
32,S035,35,SENTENCE,"At my school for the deaf, there was a deaf barber.",320.0,240.0,143.0,30.1900070373,4.73666666667
33,S036,36,SENTENCE,My sister goes to a beauty shop every Thursday.,320.0,240.0,132.0,30.2059496568,4.37
34,S037,37,SENTENCE,"In Mexico, all the people coming to me begging got to my conscience.",320.0,240.0,133.0,30.2043906132,4.40333333333
35,S038,38,SENTENCE,The local newspaper harshly criticized the judge's firm decision to refuse to hear the case.,320.0,240.0,181.0,30.3097962601,5.97166666667
36,S039,39,SENTENCE,Maybe my stress and headache will go away when the test is over.,320.0,240.0,176.0,30.1541976014,5.83666666667
37,S040,40,SENTENCE,That skinny guy was the captain of his high school lacrosse team.,320.0,240.0,113.0,30.2408563782,3.73666666667
38,S041,41,SENTENCE,The rabbi is a clumsy roller blader.,320.0,240.0,150.0,30.1810865191,4.97
39,S042,42,SENTENCE,Your insistence on following your own way will get you into trouble.,320.0,240.0,113.0,30.2408563782,3.73666666667
40,S043,43,SENTENCE,Really have to hurry; Dee is so pregnant her baby will be born any time.,320.0,240.0,138.0,30.1969365427,4.57
41,S044,44,SENTENCE,Would you like to direct the play?,320.0,240.0,59.0,30.4909560724,1.935
42,S045,45,SENTENCE,Stop teasing the cat!,320.0,240.0,84.0,30.343166767,2.76833333333
43,S046,46,SENTENCE,Play cards after you do your all those errands.,320.0,240.0,90.0,30.3200449186,2.96833333333
44,S047,47,SENTENCE,I put on overalls and boots for the picnic.,320.0,240.0,155.0,30.3623898139,5.105
45,S048,48,SENTENCE,Driving's not safe with a lot of heavy snow and slippery roads.,320.0,240.0,197.0,30.284396618,6.505
46,S049,49,SENTENCE,He's brilliant but suffers from poverty.,320.0,240.0,145.0,30.187369882,4.80333333333
47,S050,50,SENTENCE,Sally dozed off during the priest's sermon.,320.0,240.0,133.0,30.2043906132,4.40333333333
48,S051,51,SENTENCE,My sons are16 and14.,320.0,240.0,88.0,30.3273980471,2.90166666667
49,S052,52,SENTENCE,John took it easy over the weekend.,320.0,240.0,126.0,30.2158273381,4.17
50,S053,53,SENTENCE,Peggy grabbed the opportunity to get a free ride. ,320.0,240.0,97.0,30.2967204581,3.20166666667
51,S054,54,SENTENCE,"After 3 months preaching against alcohol, Kelly drank again.",320.0,240.0,188.0,30.2981466559,6.205
52,S055,55,SENTENCE,She asked for help and he was flexible and happy to oblige.,320.0,240.0,149.0,30.1823092505,4.93666666667
53,S056,56,SENTENCE,I'm a big fan of the Yankees.,320.0,240.0,92.0,30.313014827,3.035
54,S057,57,SENTENCE,I ran so much I got really tired.,320.0,240.0,104.0,30.2618816683,3.43666666667
55,S058,58,SENTENCE,Bob is terrified of bugs…. what's the matter with him?,320.0,240.0,90.0,30.3200449186,2.96833333333
56,S059,59,SENTENCE,"That business, just recently established, repairs shoes.",320.0,240.0,104.0,30.2618816683,3.43666666667
57,S060,60,SENTENCE,HA! The Chicago Cubs will NEVER win the World Series!,320.0,240.0,180.0,30.3115352231,5.93833333333
58,S061,61,SENTENCE,That math tutor isn't popular.,320.0,240.0,124.0,30.2193338749,4.10333333333
59,S062,62,SENTENCE,The weekly lectures are fascinating.,320.0,240.0,115.0,30.2366345311,3.80333333333
60,S063,63,SENTENCE,My cousin really likes gymnastics.,320.0,240.0,79.0,30.3651505445,2.60166666667
61,S064,64,SENTENCE,My dentist's appointment is really early tomorrow morning.,320.0,240.0,79.0,30.3651505445,2.60166666667
62,S065,65,SENTENCE,Riding my bike really fast makes me short of breath.,320.0,240.0,114.0,30.2387267905,3.77
63,S066,66,SENTENCE,Winters here are so cold that Grandfather wishes he could move south.,320.0,240.0,140.0,30.0,4.66666666667
64,S067,67,SENTENCE,"The sun in the Southwest is so hot that you should wear a hat, scarf, etc.",320.0,240.0,178.0,30.3150723815,5.87166666667
65,S068,68,SENTENCE,A cop deliberately shot an unarmed man in the knee last Thursday.,320.0,240.0,143.0,30.1900070373,4.73666666667
66,S069,69,SENTENCE,I'm sick of the constant cost increases for a first class stamp.,320.0,240.0,110.0,30.2474793767,3.63666666667
67,S070,70,SENTENCE,Congratulations on your record 15% profit.,320.0,240.0,109.0,30.2497687327,3.60333333333
68,S071,71,SENTENCE,A multitude of firefighters spent quite a while struggling in vain with the large fire.,320.0,240.0,189.0,30.2965535667,6.23833333333
69,S072,72,SENTENCE,The black Baptists group is planning a banquet.,320.0,240.0,92.0,30.313014827,3.035
70,S073,73,SENTENCE,Holding hands is a sign of true love.,320.0,240.0,84.0,30.343166767,2.76833333333
71,S074,74,SENTENCE,"In general, senior citizens are stunned by the cost of drugs.",320.0,240.0,109.0,30.2497687327,3.60333333333
72,S075,75,SENTENCE,Bill was so stubborn that he got suddenly fired; it was a rude awakening.,320.0,240.0,73.0,30.3955586398,2.40166666667
73,S076,76,SENTENCE,Pam tends to get up really early to go rowboating.,320.0,240.0,155.0,30.3623898139,5.105
74,S077,77,SENTENCE,I know absolutely nothing about welding.,320.0,240.0,52.0,30.5582761998,1.70166666667
75,S078,78,SENTENCE,Kerry is indecisive about renting a piano.,320.0,240.0,115.0,30.2366345311,3.80333333333
76,S079,79,SENTENCE,The foreign delegate visited the legislature.,320.0,240.0,79.0,30.0,2.63333333333
77,S080,80,SENTENCE,"The mosquitoes were so terrible, I just blew up.",320.0,240.0,100.0,30.2877334679,3.30166666667
78,S081,81,SENTENCE,The wastebasket is there next to the desk.,320.0,240.0,64.0,30.4520222046,2.10166666667
79,S082,82,SENTENCE,Whom do you look like the most?,320.0,240.0,55.0,30.5272895467,1.80166666667
80,S083,83,SENTENCE,Meeting so many people in grad school in Europe was a fantastic experience.,320.0,240.0,139.0,30.1955104996,4.60333333333
81,S084,84,SENTENCE,It's not my fault if the dog spills the garbage.,320.0,240.0,109.0,30.2497687327,3.60333333333
82,S085,85,SENTENCE,Would you please baby-sit Rosa?,320.0,240.0,57.0,30.5084745763,1.86833333333
83,S086,86,SENTENCE,Steve despised deer hunting.,320.0,240.0,74.0,30.3901437372,2.435
84,S087,87,SENTENCE,"The kitchen was partially renovated, then left for four months.",320.0,240.0,117.0,30.2325581395,3.87
85,S088,88,SENTENCE,What's really wrong?,320.0,240.0,42.0,30.0,1.4
86,S089,89,SENTENCE,"We're going fishing the third week of the month, right?",320.0,240.0,67.0,30.4314912945,2.20166666667
87,S090,90,SENTENCE,I was so frustrated when my favorite store went out of business.,320.0,240.0,115.0,30.2366345311,3.80333333333
88,S091,91,SENTENCE,Have you been to Japan?,320.0,240.0,41.0,30.0,1.36666666667
89,S092,92,SENTENCE,"Oh, I ate so many cookies I had to lie down.",320.0,240.0,120.0,30.2267002519,3.97
90,S093,93,SENTENCE,The snow's too thin; we can't go cross country skiing.,320.0,240.0,108.0,30.2521008403,3.57
91,S094,94,SENTENCE,Florida alligators are huge; don't try to climb aboard.,320.0,240.0,120.0,30.2267002519,3.97
92,S095,95,SENTENCE,Where do hard of hearing children in hearing families learn ASL?,320.0,240.0,133.0,30.2043906132,4.40333333333
93,S096,96,SENTENCE,My daughter completely forgot her homework when she got on the bus this morning.,320.0,240.0,139.0,30.1955104996,4.60333333333
94,S097,97,SENTENCE,I flew to California and back.,320.0,240.0,79.0,30.3651505445,2.60166666667
95,S098,98,SENTENCE,My drive home is only half an hour.,320.0,240.0,100.0,30.2877334679,3.30166666667
96,S099,99,SENTENCE,The Paris subway is packed with people.,320.0,240.0,58.0,30.4995617879,1.90166666667
97,S100,100,SENTENCE,A long line at the bank means a long wait.,320.0,240.0,154.0,30.364771607,5.07166666667
98,S101,101,SENTENCE,"I'm telling you, you'd better pay your taxes on time.",320.0,240.0,73.0,30.3955586398,2.40166666667
99,S102,102,SENTENCE,How much did the new motorcycle cost?,320.0,240.0,48.0,30.0,1.6
100,S103,103,SENTENCE,You're not allowed to ride that horse because of his age.,320.0,240.0,99.0,30.2906680265,3.26833333333
101,S104,104,SENTENCE,Dallas is north of Houston.,320.0,240.0,68.0,30.4250559284,2.235
102,S105,105,SENTENCE,You're so gullible you believe TV ads.,320.0,240.0,75.0,30.3848750844,2.46833333333
103,S106,106,SENTENCE,Take a right at the next intersection at the light; the hospital is on your left.,320.0,240.0,107.0,30.2544769086,3.53666666667
104,S107,107,SENTENCE,I applied for a passport but got turned down.,320.0,240.0,169.0,30.3320370924,5.57166666667
105,S108,108,SENTENCE,"After figuring out my bank statement, I just barely had any money left.",320.0,240.0,111.0,30.2452316076,3.67
106,S109,109,SENTENCE,Sara spaced out and lost her glasses yesterday.,320.0,240.0,105.0,30.2593659942,3.47
107,S110,110,SENTENCE,Bob and Suzi had a big fight four years ago and haven't spoken since.,320.0,240.0,168.0,30.3340355101,5.53833333333
108,S111,111,SENTENCE,It's dangerous to be outside due to the icy conditions.,320.0,240.0,102.0,30.2670623145,3.37
109,S112,112,SENTENCE,Are you jealous that my great aunt gave me a large inheritance?,320.0,240.0,144.0,30.1992310381,4.76833333333
110,S113,113,SENTENCE,"Ron is supposed to type the paper, but he's procrastinating.",320.0,240.0,143.0,30.1900070373,4.73666666667
111,S114,114,SENTENCE,Ask me if I care about that problem.,320.0,240.0,70.0,30.4127443881,2.30166666667
112,S115,115,SENTENCE,Richard knows a lot about the differences in electric razors.,320.0,240.0,86.0,30.3350970018,2.835
113,S116,116,SENTENCE,"Jackie and Pat take a brisk, one hour walk on Mondays, Wednesdays and Fridays.",320.0,240.0,191.0,30.2934179223,6.305
114,S117,117,SENTENCE,It's very sad; someone at the temple has been embezzling and was caught.,320.0,240.0,138.0,30.1969365427,4.57
115,S118,118,SENTENCE,That student was exhausted from so much hard studying.,320.0,240.0,137.0,30.1983835415,4.53666666667
116,S119,119,SENTENCE,Let me introduce my good friend. She's hearing.,320.0,240.0,67.0,30.4314912945,2.20166666667
117,S120,120,SENTENCE,I challenge you to spell Chris' long last name to me.,320.0,240.0,116.0,30.2345786273,3.83666666667
118,S121,121,SENTENCE,"Peg's job was 10 months of hell, and she earned the right to go to summer school.",320.0,240.0,180.0,30.3115352231,5.93833333333
119,S122,122,SENTENCE,Look at that snazzy BMW.,320.0,240.0,73.0,30.3955586398,2.40166666667
120,S123,123,SENTENCE,Creating a dictionary is quite a job; it seems to take forever.,320.0,240.0,110.0,30.2474793767,3.63666666667
121,S124,124,SENTENCE,"Oh, God, I'm in a big hurry and I realize I forgot to use deodorant.",320.0,240.0,106.0,30.2568981922,3.50333333333
122,S125,125,SENTENCE,"I did forgive him, and now the argument's over.",320.0,240.0,82.0,30.3516347933,2.70166666667
123,S126,126,SENTENCE,"Is the National Association of the Deaf office near Washington, DC?",320.0,240.0,66.0,30.4381245196,2.16833333333
124,S127,127,SENTENCE,Would you please go pick up the pizza?,320.0,240.0,58.0,30.4995617879,1.90166666667
125,S128,128,SENTENCE,I was up all night with bad diarrhea.,320.0,240.0,116.0,30.2345786273,3.83666666667
126,S129,129,SENTENCE,Robin's having a hard time looking for a job and is barely making it.,320.0,240.0,94.0,30.3062869425,3.10166666667
127,S130,130,SENTENCE,"Cross Interstate 88 to the west, follow the road a bit and take a quick left.",320.0,240.0,109.0,30.2497687327,3.60333333333
128,S131,131,SENTENCE,The janitor will soon be moving away.,320.0,240.0,79.0,30.0,2.63333333333
129,S132,132,SENTENCE,It takes a lot of work to get a Ph.D.,320.0,240.0,107.0,30.2544769086,3.53666666667
130,S133,133,SENTENCE,What?  YOU'RE the principal at the high school!?,320.0,240.0,63.0,30.4593070105,2.06833333333
131,S134,134,SENTENCE,His and my perspectives are somewhat similar.,320.0,240.0,106.0,30.2568981922,3.50333333333
132,S135,135,SENTENCE,"I have two nephews, aged 23 and 22.",320.0,240.0,89.0,30.3236797274,2.935
133,S136,136,SENTENCE,"In an awful accident, Juan was hit by a car and became blind.",320.0,240.0,133.0,30.2043906132,4.40333333333
134,S137,137,SENTENCE,Drinking a lot of bloody marys will make you really drowsy.,320.0,240.0,138.0,30.1969365427,4.57
135,S138,138,SENTENCE,I'm also all warm and comfortable under the blanket.,320.0,240.0,114.0,30.2387267905,3.77
136,S139,139,SENTENCE,The Bible was written in the distant past; things were very different then.,320.0,240.0,164.0,30.3422756707,5.405
137,S140,140,SENTENCE,"Last week in biology we discussed our microscope work, but I was out of it.",320.0,240.0,155.0,30.3623898139,5.105
138,S141,141,SENTENCE,Why is aftershave lotion necessary?,320.0,240.0,105.0,30.2593659942,3.47
139,S142,142,SENTENCE,I can't stand the heavy use of air conditioning in the summer.,320.0,240.0,78.0,30.369889682,2.56833333333
140,S143,143,SENTENCE,Be careful of road rage.,320.0,240.0,198.0,30.2829467244,6.53833333333
141,S144,144,SENTENCE,My sister will travel to Alaska this August.,320.0,240.0,89.0,30.3236797274,2.935
142,S145,145,SENTENCE,"I'm about to give you a shot, but according to the rule I must first ask you whether you have any allergies.",320.0,240.0,105.0,30.2593659942,3.47
143,S146,146,SENTENCE,"At noon, light appetizers will be served.",320.0,240.0,93.0,30.30961434,3.06833333333
144,S147,147,SENTENCE,Why do you have to work hard by yourself?,320.0,240.0,60.0,30.482641829,1.96833333333
145,S148,148,SENTENCE,It is better to delegate work to assistants.,320.0,240.0,73.0,30.3955586398,2.40166666667
146,S149,149,SENTENCE,That damn ATM is too tempting.,320.0,240.0,117.0,30.2325581395,3.87
147,S150,150,SENTENCE,Constantly venting your complaints is impolite.,320.0,240.0,110.0,30.2474793767,3.63666666667
148,S151,151,SENTENCE,"In your language course, your average grade is B-.",320.0,240.0,106.0,30.2568981922,3.50333333333
149,S152,152,SENTENCE,Does your nephew have a B.S. or M.S. degree?,320.0,240.0,148.0,30.1835486064,4.90333333333
150,S153,153,SENTENCE,The bathtub is so dirty that I can't take a bath. ,320.0,240.0,179.0,30.3132938188,5.905
151,S154,154,SENTENCE,"In the first part of the movie, ""Men of Honor,"" the military officer is tough.",320.0,240.0,187.0,30.2997569538,6.17166666667
152,S155,155,SENTENCE,The top Chinese restaurant is making lots of money.,320.0,240.0,82.0,30.3516347933,2.70166666667
153,S156,156,SENTENCE,The psychiatrist will reluctantly teach a basic history course.,320.0,240.0,152.0,30.3696303696,5.005
154,S157,157,SENTENCE,The magician was shocked to find no rabbit in his hat.,320.0,240.0,127.0,30.2141157811,4.20333333333
155,S158,158,SENTENCE,"Long ago, the spread of rats carrying bubonic plague had people getting sick and dying all over the place.",320.0,240.0,167.0,30.336058129,5.505
156,S159,159,SENTENCE,"My roommate just loves ""The Philadelphia Story""; he saw it 11 times.",320.0,240.0,165.0,30.3401777505,5.43833333333
157,S160,160,SENTENCE,"After the Depression, many babies were born all over.",320.0,240.0,154.0,30.364771607,5.07166666667
158,S161,161,SENTENCE,"During World War II, deaf people were thrilled by the many job opportunities.",320.0,240.0,148.0,30.1835486064,4.90333333333
159,S162,162,SENTENCE,"When you're done, let me know.",320.0,240.0,41.0,30.0,1.36666666667
160,S163,163,SENTENCE,"Five years ago Matt, who had just gotten engaged, was killed in an automobile accident.",320.0,240.0,139.0,30.1955104996,4.60333333333
161,S164,164,SENTENCE,"Look, I have served you for many years.",320.0,240.0,87.0,30.3312027891,2.86833333333
162,S165,165,SENTENCE,Your gift is poetry.,320.0,240.0,61.0,30.4746044963,2.00166666667
163,S166,166,SENTENCE,Give him a knife worth $10 or less.,320.0,240.0,122.0,30.2229562345,4.03666666667
164,S167,167,SENTENCE,My uncle got really mad because the freezer was worthless.,320.0,240.0,63.0,30.4593070105,2.06833333333
165,S168,168,SENTENCE,"After the divorce, Helen was destroyed.",320.0,240.0,82.0,30.3516347933,2.70166666667
166,S169,169,SENTENCE,John is afraid that his secretary will quit.,320.0,240.0,115.0,30.2366345311,3.80333333333
167,S170,170,SENTENCE,My neighbor doesn't want to drop his class.,320.0,240.0,94.0,30.3062869425,3.10166666667
168,S171,171,SENTENCE,Let's celebrate!  The living room renovations are paid off.,320.0,240.0,145.0,30.187369882,4.80333333333
169,S172,172,SENTENCE,I'm a klutz when it comes to carpentry.,320.0,240.0,48.0,30.0,1.6
170,S173,173,SENTENCE,Every night people enjoy listening to music at the Apollo Theater.,320.0,240.0,202.0,30.277292031,6.67166666667
171,S174,174,SENTENCE,My sister's been in LA a long time and I miss her.,320.0,240.0,82.0,30.3516347933,2.70166666667
172,S175,175,SENTENCE,I absolutely cannot believe Missouri has a navy.,320.0,240.0,97.0,30.2967204581,3.20166666667
173,S176,176,SENTENCE,Did France have the best explosives 200 years ago?,320.0,240.0,82.0,30.3516347933,2.70166666667
174,S177,177,SENTENCE,Germany had a huge fleet of boats in 1942.,320.0,240.0,135.0,30.2013422819,4.47
175,S178,178,SENTENCE,Don joined the army when he was done with college.,320.0,240.0,102.0,30.2670623145,3.37
176,S179,179,SENTENCE,I worked hard all last Monday afternoon mowing the lawn.,320.0,240.0,139.0,30.1955104996,4.60333333333
177,S180,180,SENTENCE,The mountains in Nepal are amazing.,320.0,240.0,142.0,30.1913536499,4.70333333333
178,S181,181,SENTENCE,The other boys mocked Billy so much he felt really awful.,320.0,240.0,134.0,30.2028549962,4.43666666667
179,S182,182,SENTENCE,Did you hear that a horde of bees invaded the campsite?,320.0,240.0,114.0,30.2387267905,3.77
180,S183,183,SENTENCE,"You know, there are gorgeous forests in Maine.",320.0,240.0,130.0,30.2091402014,4.30333333333
181,S184,184,SENTENCE,A water pipe burst and flooded the garage.,320.0,240.0,128.0,30.2124311566,4.23666666667
182,S185,185,SENTENCE,"If your car breaks down a lot, trade it in.",320.0,240.0,82.0,30.3516347933,2.70166666667
183,S186,186,SENTENCE,"Yeah, I called the plumber, but he hasn't shown up.",320.0,240.0,123.0,30.2211302211,4.07
184,S187,187,SENTENCE,Lobsters are scrumptious.,320.0,240.0,73.0,30.3955586398,2.40166666667
185,S188,188,SENTENCE,Haircuts cost an arm and a leg in London.,320.0,240.0,88.0,30.3273980471,2.90166666667
186,S189,189,SENTENCE,Grandmother is wealthy but ironically her furniture is really ordinary.,320.0,240.0,189.0,30.2965535667,6.23833333333
187,S190,190,SENTENCE,All the furniture in John's apartment is leather.,320.0,240.0,123.0,30.2211302211,4.07
188,S191,191,SENTENCE,The assembly line machine that makes the radios is broken.,320.0,240.0,116.0,30.2345786273,3.83666666667
189,S192,192,SENTENCE,"Oh, I remember how powerful the motor was on my '67 Jaguar.",320.0,240.0,132.0,30.2059496568,4.37
190,S193,193,SENTENCE,Police have a lot of power.,320.0,240.0,57.0,30.5084745763,1.86833333333
191,S194,194,SENTENCE,There are 8 or 9 time zones in Russia.,320.0,240.0,200.0,30.2800908403,6.605
192,S195,195,SENTENCE,Animal packs without leaders are never found.,320.0,240.0,122.0,30.2229562345,4.03666666667
193,S196,196,SENTENCE,Monkeys are smart but elephants are strong.,320.0,240.0,77.0,30.3747534517,2.535
194,S197,197,SENTENCE,That woman with the dark blue dangling earrings told me she's certified.,320.0,240.0,113.0,30.2408563782,3.73666666667
195,S198,198,SENTENCE,Our naughty dog got loose and got pregnant.,320.0,240.0,131.0,30.2075326672,4.33666666667
196,S199,199,SENTENCE,My potato at lunch was raw!,320.0,240.0,64.0,30.4520222046,2.10166666667
197,S200,200,SENTENCE,I guarantee that the project will be submitted the first week of January.,320.0,240.0,105.0,30.2593659942,3.47
198,S201,201,SENTENCE,Small computer screens must be projected for easy viewing.,320.0,240.0,139.0,30.1955104996,4.60333333333
199,S202,202,SENTENCE,The scarf is bluish-green and cream.,320.0,240.0,129.0,30.2225693089,4.26833333333
200,S203,203,SENTENCE,We're out of gas.,320.0,240.0,62.0,30.4668304668,2.035
201,S204,204,SENTENCE,The rocking chair that Erin loves is missing!,320.0,240.0,99.0,30.2906680265,3.26833333333
202,S205,205,SENTENCE,There was a pile of gifts at the house warming.,320.0,240.0,106.0,30.2568981922,3.50333333333
203,S206,206,SENTENCE,"The big ugly picture, valued at three quarters of a million, was actually sold.",320.0,240.0,201.0,30.2786844087,6.63833333333
204,S207,207,SENTENCE,"Oh my, Jill is really mad at me!",320.0,240.0,85.0,30.3390838786,2.80166666667
205,S208,208,SENTENCE,The vice president was inaugurated two weeks ago.,320.0,240.0,79.0,30.0,2.63333333333
206,S209,209,SENTENCE,Ann perspired from hard work in the garden.,320.0,240.0,191.0,30.1420305103,6.33666666667
207,S210,210,SENTENCE,"The bowling team ""Think Easy"" won the first place.",320.0,240.0,172.0,30.3261827799,5.67166666667
208,S211,211,SENTENCE,I desperately needed a cigarette.,320.0,240.0,77.0,30.3747534517,2.535
209,S212,212,SENTENCE,Tom was engrossed in his book.,320.0,240.0,89.0,30.3236797274,2.935
210,S213,213,SENTENCE,Joey put on his best suit for his engineering interview and looked great.,320.0,240.0,185.0,30.303030303,6.105
211,S214,214,SENTENCE,The other day Sam and Amy chatted at length in a coffee shop and caught up.,320.0,240.0,211.0,30.1141769743,7.00666666667
212,S215,215,SENTENCE,Founding NTID in 1968 was an historic event.,320.0,240.0,184.0,30.3046939336,6.07166666667
213,S216,216,SENTENCE,Beth looks sexy in her high heels and short dress.,320.0,240.0,121.0,30.2248126561,4.00333333333
214,S217,217,SENTENCE,"After menopause, it's a good idea to take estrogen to prevent heart attacks.",320.0,240.0,195.0,30.2873414445,6.43833333333
215,S218,218,SENTENCE,"Interpreting in Boston was a challenge, but I learned a lot and it was very worthwhile.",320.0,240.0,139.0,30.1955104996,4.60333333333
216,S219,219,SENTENCE,Today's VWs look completely different.,320.0,240.0,144.0,30.1992310381,4.76833333333
217,S220,220,SENTENCE,We took turns telling ABC stories; I was last.,320.0,240.0,110.0,30.2474793767,3.63666666667
218,S221,221,SENTENCE,What's that paragraph talking about?,320.0,240.0,50.0,30.0,1.66666666667
219,S222,222,SENTENCE,"Read ""A Tree Grows in Brooklyn"" and summarize it.",320.0,240.0,137.0,30.1983835415,4.53666666667
220,S223,223,SENTENCE,We're going to go over Act 3 repeatedly.,320.0,240.0,98.0,30.2936630603,3.235
221,S224,224,SENTENCE,This Saturday Naomi will teach them all makeup.,320.0,240.0,116.0,30.2345786273,3.83666666667
222,S225,225,SENTENCE,"Every day at 1, the secretary has a ham sandwich, light on the mayonnaise, milk and a pickle.",320.0,240.0,210.0,30.1147227533,6.97333333333
223,S226,226,SENTENCE,"The raincoat, which was in the closet, is missing.",320.0,240.0,113.0,30.2408563782,3.73666666667
224,S227,227,SENTENCE,"My goal was to major in English, but for the wrong reason.",320.0,240.0,119.0,30.2286198137,3.93666666667
225,S228,228,SENTENCE,Some people in elevators have bad BO.,320.0,240.0,79.0,30.3651505445,2.60166666667
226,S229,229,SENTENCE,The zoo will open September 3rd.,320.0,240.0,91.0,30.3164908384,3.00166666667
227,S230,230,SENTENCE,I'm out of shaving cream.,320.0,240.0,61.0,30.4746044963,2.00166666667
228,S231,231,SENTENCE,My sister-in-law fortunately retired as the company was going out of business.,320.0,240.0,132.0,30.2059496568,4.37
229,S232,232,SENTENCE,"Oddly, although I got straight A's in grammar, my teacher was not satisfied with my essay.",320.0,240.0,211.0,30.1141769743,7.00666666667
230,S233,233,SENTENCE,I can't decide whether to buy a car or have the brakes fixed.,320.0,240.0,119.0,30.2286198137,3.93666666667
231,S234,234,SENTENCE,You really shouldn't skip the game.,320.0,240.0,104.0,30.2618816683,3.43666666667
232,S235,235,SENTENCE,Is it ok if I sleep here?,320.0,240.0,58.0,30.4995617879,1.90166666667
233,S236,236,SENTENCE,Does this brown belt go with the green bowtie?,320.0,240.0,88.0,30.3273980471,2.90166666667
234,S237,237,SENTENCE,"The address is 25 Oak St., Atlanta, GA.",320.0,240.0,118.0,30.2305721605,3.90333333333
235,S238,238,SENTENCE,Alan will be 25 very soon.,320.0,240.0,62.0,30.4668304668,2.035
236,S239,239,SENTENCE,"Regrettably, I got bombed on my last birthday.",320.0,240.0,69.0,30.4188096988,2.26833333333
237,S240,240,SENTENCE,25 years old is really young!,320.0,240.0,61.0,30.4746044963,2.00166666667
238,S241,241,SENTENCE,I have hardly a pittance left after shopping.,320.0,240.0,78.0,30.369889682,2.56833333333
